143829 2
178919 1.422912 -11.011781
142443 1.551717 -10.937982
37358 1.342901 -11.006313
16901 1.409564 -11.155302
139523 6.818245 -11.983028
154766 -2.463812 -12.292303
69299 1.389851 -10.966654
178916 -13.674578 1.773872
148319 -13.280295 1.545320
156117 -13.830541 5.258592
166866 -16.137482 -0.282349
145612 -14.156316 4.253384
166795 -13.053058 2.142486
146664 -14.276731 5.161399
170971 -14.382879 -0.093657
42866 -13.506945 1.939012
178914 -0.704867 7.278554
129198 -0.790420 7.359612
124428 6.825070 -2.086110
27981 -0.778972 7.284976
65737 -0.764157 7.338867
4414 -1.033113 6.928451
43018 -0.789927 7.312145
68312 -0.729716 7.347457
138938 -0.749974 7.361549
119974 -0.819220 7.291181
137284 -0.806107 7.296425
105640 -0.745287 7.334326
119675 -0.746165 7.321330
178913 -8.529457 10.727708
101993 -7.456527 10.681469
165677 -16.051342 3.159421
178912 -8.136200 0.186991
146038 -8.405726 0.019154
88438 -8.171748 0.060828
138563 -6.883101 0.593293
158811 -8.402589 -0.099223
137019 -8.404205 -0.042279
91102 -3.048534 6.022476
120951 -6.796079 0.694142
95859 -8.516475 0.254164
117502 -8.192880 0.085759
153441 -8.597006 0.052929
91400 -3.117880 6.072283
120366 -8.149849 -0.005499
14958 -2.873113 6.226166
162815 -8.410518 -0.403582
152955 -8.339378 -0.073904
91496 -3.435745 5.641677
178910 12.324388 -14.368822
77685 12.202238 -13.969903
106426 -5.974465 3.981876
134279 12.189028 -14.262164
178907 1.038327 4.498917
94243 0.996989 5.009336
52598 0.590441 4.980615
151300 0.402163 4.371692
22854 -2.199175 -12.452339
178906 17.405128 -22.945784
41143 1.306741 -11.132090
34625 18.006250 -22.233784
84223 -1.014759 2.875401
2522 -0.100485 -12.642456
178887 1.375415 20.142361
74508 1.297372 20.356798
23246 1.416307 19.806355
178846 0.935964 21.250774
117096 0.979367 21.031164
93088 0.345537 21.160076
108061 1.538042 21.279028
20134 1.562597 21.513090
23131 0.610407 20.950277
178839 2.236698 21.530104
127611 2.024595 21.399914
178830 -2.472382 -7.315508
127252 -5.728634 -7.048541
68286 -2.133764 -7.547897
6906 0.489564 19.722412
178829 1.663258 20.792786
42214 1.646220 20.801464
55105 1.622819 20.929663
89595 1.591001 20.896082
178822 0.917913 21.690344
156550 -4.270210 -2.494261
27130 1.152072 21.462929
143583 -4.298446 -2.853820
178818 -0.025994 21.393820
178811 0.012320 21.350117
178792 -11.799730 11.582544
106832 -11.820033 11.901877
43790 -7.890655 10.859326
74096 -9.213809 11.916348
178784 -13.306731 10.832741
32546 -13.122262 10.538630
35947 -13.252988 10.789549
178782 -0.259263 0.247556
103418 -0.736343 0.279227
178667 0.340659 -0.117549
127614 -0.459073 0.957903
164637 -2.229712 0.099537
168680 -9.603069 2.443059
113971 -11.925495 4.876615
178775 -6.753144 10.556022
120766 -7.392317 11.762284
146925 -7.015346 10.141206
16891 -6.630523 9.406198
152413 -7.032652 10.555393
148345 -6.713943 10.450100
178766 -12.741198 8.886373
18672 -12.410040 8.620032
71207 9.537222 -0.527312
3589 23.426722 -11.494236
44343 -12.377820 8.588851
138314 -11.781878 4.262739
139655 19.103603 -8.375610
108228 -11.783018 3.969929
125890 -16.317167 2.952756
178754 -1.375981 -1.381681
146097 -1.346598 -1.478710
141800 -0.757555 -0.552618
29440 -8.421836 -2.428697
132031 -12.358379 13.025369
51159 -12.281358 13.004916
178744 -11.668123 14.749401
178607 -11.637744 14.725577
37051 -8.401384 10.216080
178742 -12.936857 13.192127
178681 -16.653442 1.506243
178227 -11.855762 4.044497
178739 -8.299848 1.430252
74550 -8.328198 1.365556
105599 -8.446927 1.363476
11734 -8.415678 1.460229
114491 -8.390721 1.547941
178535 -8.261461 1.481253
117663 -8.353328 1.430609
4670 -8.260280 1.424446
172106 -8.307767 1.604620
178712 -1.113327 -1.368648
132528 -0.422013 -1.190584
26155 -12.187853 8.748955
62097 -7.883576 4.325181
56380 -0.785306 -1.291888
10627 -1.163327 -1.493493
178697 -13.171183 12.737340
14792 -13.070399 12.759295
38134 -12.724004 12.806121
81993 -17.683739 2.647795
98110 -12.643786 12.539149
58685 -13.196650 12.862364
118329 -16.617500 3.145787
178696 -13.186279 10.511389
94897 -13.160661 10.523291
178177 -12.988190 10.842874
178266 -13.049867 10.096266
139668 -13.071213 10.560698
178694 8.815008 -0.902493
137528 9.747022 -0.862336
141265 8.776588 -1.211104
155057 -11.690905 4.507513
50792 6.951687 -5.108872
16802 0.985047 20.531984
147462 -16.147875 -2.896824
178691 -8.271852 0.231024
27244 -8.401320 -0.050147
118809 -9.682945 9.366291
178688 -9.676876 -0.477785
126183 -8.411386 -0.394100
79540 -16.243130 3.756105
100963 -11.915536 3.756443
174144 -16.511309 1.539622
16866 -16.761398 1.309746
30555 -16.838781 1.337319
2189 -11.744588 4.396811
141482 -18.135221 3.325244
14401 -17.626654 3.332218
60890 -12.758102 3.279468
156534 -16.654484 1.359289
110768 -12.006050 4.400803
136344 -16.978466 3.546990
174093 -16.807430 1.358138
161482 -12.028037 3.839272
178677 -12.724399 2.965914
94761 -12.446493 3.226149
108266 -14.810301 2.337508
156098 -2.988785 -1.614275
168251 -12.552756 2.772596
18170 -17.460089 3.335155
57548 -12.697453 2.830890
2485 -12.621863 2.853293
154706 -15.040594 2.269257
61932 -17.224678 3.303828
162713 -12.556591 2.793439
157990 -12.629774 2.942169
61597 -13.106555 3.943685
