108354 2
161738 8.401600 23.368702
82845 8.434069 23.338364
161737 -8.953638 -16.518864
63304 3.129108 -9.845469
49955 8.478176 -7.784228
79564 -9.158827 -16.231165
48100 -8.737970 -16.575932
161734 -13.303431 16.363205
110536 24.164045 6.325296
81268 -13.307527 16.178717
3598 24.018351 6.044503
161733 -2.928494 20.906017
121886 5.079781 7.430322
10428 -3.097789 20.644211
161732 6.999531 -9.100639
158628 10.200862 -9.490207
46474 5.677630 -10.764426
87296 1.645101 -6.985658
63259 4.561678 -7.235117
153860 2.088381 -7.998574
161730 5.014107 -0.636891
53443 5.103888 -0.689415
59348 -9.916804 6.977812
85888 5.029068 -0.657572
12516 5.084666 -0.738840
87604 5.045451 -0.587855
132769 6.065204 -1.059870
161728 -2.431289 -7.976760
121158 -3.104601 9.085517
104341 -2.682594 -8.179283
78151 -3.168075 4.149206
136124 2.142775 6.743589
131897 -3.644057 5.700561
85808 6.534363 -8.965795
43045 6.285867 -8.697714
3818 -4.015178 6.744087
21194 -3.117521 8.983327
161727 6.006371 -10.938985
48964 5.121130 -10.621972
49520 6.367391 -10.932228
104755 5.902745 -10.877532
112360 -17.297859 12.601721
161726 5.302037 -5.164139
71686 5.370712 -5.167352
161725 23.733088 4.761741
153931 23.745199 4.749986
161724 -0.048782 2.652702
34916 0.329277 2.844864
114331 -0.231467 2.579211
5040 -0.096558 2.658807
161723 -0.245436 2.615646
161721 11.947677 2.677267
34219 12.150001 2.676630
147660 12.019729 2.734326
86921 12.280900 3.265173
85706 11.835577 2.724692
56663 11.974562 2.881506
161718 4.011945 13.193143
149580 3.899196 13.354960
48852 8.910497 -2.038634
73362 2.677620 13.184070
16435 4.744970 12.566656
41809 5.914688 -9.785457
103438 3.893458 13.257866
161717 -8.709145 -2.513105
32552 -8.764863 -2.802700
161716 -7.305914 16.062214
133601 -7.279612 16.279070
23573 -7.288314 16.023205
4401 -7.078364 15.777258
146763 -7.315941 15.867523
161714 -8.583439 3.075061
37188 -8.807955 3.535635
120628 -8.311026 2.863309
161713 6.674933 -4.623556
121502 6.856373 -4.795707
710 6.883888 -4.991786
94817 8.758449 2.306178
24537 7.392655 -3.369277
161712 11.016740 -3.419683
130016 10.199315 -2.295382
130017 10.231624 -2.238506
161711 16.814005 11.488262
141328 16.750210 11.412914
106439 10.559546 0.538719
161709 -11.719884 18.291084
50395 -11.858974 18.046560
108896 5.973723 -8.463603
161708 5.052976 11.510726
113317 5.107220 12.081031
131542 4.614122 11.555965
39818 4.980985 11.363183
105890 5.253294 11.930910
20927 -6.015036 -0.393637
70902 4.832134 11.533329
161707 -15.153359 16.104549
125556 -12.373824 12.663275
67347 -17.783537 -0.540050
