conf_name,x,y,label
international conference on computer vision,15.707351,-12.092170,62238
computer vision and pattern recognition,14.906951,-10.322153,62237
international world wide web conferences,-12.289429,-5.687503,62245
international acm sigir conference on research and development in information retrieval,-16.054302,0.503712,62235
national conference on artificial intelligence,1.207159,11.881014,62243
north american chapter of the association for computational linguistics,-13.108525,10.409527,62244
meeting of the association for computational linguistics,-11.572351,12.100258,62239
international conference on machine learning,0.280289,-0.283530,62236
neural information processing systems,3.211032,2.340686,62246
empirical methods in natural language processing,-10.682706,10.289623,62242
knowledge discovery and data mining,-4.831225,-5.127383,62240
european conference on computer vision,16.279472,-11.427935,62241
