62247 2
0 16.869106 -5.496546
52207 17.176014 -5.565723
7019 14.594876 11.101826
13578 20.159073 0.529833
25511 16.632166 -5.410514
2 17.244423 -5.195265
15593 17.145296 -5.470225
9108 19.251078 -1.292169
11822 17.760628 -5.028070
19687 20.351805 2.741833
23628 17.312958 -4.914608
31143 16.227093 -5.375463
4 -15.796994 -2.829245
53986 -19.582087 0.473243
15484 -15.833894 -3.025180
13468 -15.965917 -3.008736
13826 -15.611794 -2.943034
15365 -15.347150 -2.625820
28411 -15.310432 -2.645267
22716 -15.845913 -2.832839
24408 -13.518309 -6.109008
5720 -15.369685 -2.388134
43531 -16.129816 -2.718827
5 -11.319170 -15.834719
5409 -11.049701 -15.967405
25424 -12.712881 -12.051913
6 -2.293917 -13.865470
19193 -1.826361 -13.504115
61025 -2.377129 -13.912118
7 18.453894 12.213589
920 18.597069 -4.698287
20318 18.553616 11.925592
8 -7.202233 -4.818193
50639 10.629531 0.912842
59830 -7.281756 -4.674597
52229 -11.874125 -9.980516
1559 -7.186744 -4.712451
5916 -2.664756 -6.696725
13095 -7.514770 -4.466047
39308 -7.426896 -5.321639
29688 -7.569099 -4.454111
10 -14.598754 -10.282969
57004 -14.010294 -11.035208
17831 -14.340614 -9.851257
26126 -14.273585 -9.976899
11 -15.649082 8.521835
54476 -15.618629 8.474001
12 -8.956600 3.622789
60359 -14.832230 -6.644313
43231 -13.382745 0.675245
28530 -10.473591 -4.233719
13 -16.391264 -0.239021
29815 -16.017809 -0.815099
32003 -16.287607 -0.025680
14 -14.886503 -13.111194
2724 -14.737249 -13.024717
45488 -14.871336 -13.107435
15 -6.545173 6.964620
8628 -6.569227 7.002490
16 -15.134599 -1.570839
9478 -14.639977 -1.016736
17242 -15.615239 -1.301443
34786 -14.765388 -1.608040
17 -5.405383 -4.835250
38074 12.412843 10.014178
57645 -7.256123 -5.743655
897 12.977844 10.109480
14487 -5.097842 -5.784538
16504 1.139265 0.253864
17806 -5.393774 -4.795943
18 -9.777598 -12.123435
2458 -6.153525 2.541061
14276 -10.151523 -12.207981
36353 -10.283781 -11.416448
19 -1.381425 8.382615
10515 -0.616181 8.052581
20 1.145361 -0.666687
6791 14.699901 3.214873
7486 0.975399 -0.770198
21 -0.817298 -8.396886
37655 -2.431995 -3.810466
54245 -0.798728 -8.407884
14559 -0.983394 -8.639048
36521 -0.642923 -8.474177
37727 -0.819299 -8.230477
25 -19.616634 0.871841
41567 -19.335644 0.686839
56885 -20.059280 0.826508
25315 -19.809420 1.229493
26226 -19.707623 1.309869
31583 -19.693520 1.447349
1031 -19.635155 0.537291
26 18.523014 11.082995
49510 18.454304 10.841444
60209 18.479540 11.285896
28 -9.453499 7.654550
6316 -9.444136 7.898785
30 -7.278903 -0.764081
59458 -8.006936 -0.320423
59946 -7.893586 -5.679290
53721 4.431038 -1.709625
4398 -5.107010 -5.577971
25977 -7.568482 -1.155812
28815 -8.027178 -0.389719
32 18.164091 10.419325
10559 15.817373 5.972283
32956 16.370327 6.876944
35758 17.935600 10.186002
26470 18.055603 10.535014
36470 17.783775 10.325215
33 -5.131811 10.356475
13893 -5.045861 10.318895
35 -14.319925 -11.634893
45253 -14.073704 -11.396305
36 -5.761749 -11.515359
54034 -5.259851 -10.962365
37 -1.104187 -1.861164
56136 -0.984347 -1.655350
59846 -1.034243 -1.855548
23413 -1.178007 -0.602444
38 11.709546 1.343085
59803 4.915582 3.878282
28003 11.531178 1.249380
24181 8.946619 -3.616352
27561 11.518858 1.033467
35998 13.721325 2.171828
29653 14.973224 1.991076
37548 9.117085 6.194840
40 12.077276 2.110389
61866 15.650198 8.219491
6817 13.548738 3.165116
20446 12.671371 0.416528
44593 11.728519 2.575224
41 1.672100 1.167089
54575 1.574834 1.377571
2949 2.199262 0.978605
6015 1.512626 2.368358
23763 2.221468 0.873581
33147 1.468056 0.514794
28594 1.442079 0.995841
35955 2.269767 2.883447
36490 2.347662 1.344090
43 -20.040419 -3.473855
52894 -20.029650 -3.491534
12605 -19.922970 -3.263082
14174 -20.149614 -3.168978
44 12.746827 8.284686
16116 11.669485 8.082027
45 -17.817533 -1.958609
37510 -13.998899 -2.093659
57394 -17.690125 -1.921302
57881 -14.929101 4.831971
712 -13.850259 -5.519308
8636 -17.660658 -2.044876
19042 -15.683972 1.991892
10999 -17.711700 -2.022636
46 -7.173122 -16.175537
2520 -4.562407 -3.440708
16613 -7.258850 -16.058296
18689 -5.056048 -4.154602
22985 -7.059033 -15.907835
24779 -7.100878 -15.965720
26764 -7.089658 -16.049162
47 16.979149 -0.704930
50130 16.596367 -0.719518
50657 17.332979 -1.262983
15930 14.443655 2.300149
23308 17.688684 2.783863
47050 17.205170 -0.459184
48 -2.999278 9.470718
31686 -0.785526 8.182159
9701 -2.943279 9.526089
49 -15.059471 -11.166376
38854 -14.925228 -11.371869
50 19.329256 -0.941151
13498 19.364784 -0.935145
53871 19.614445 -1.018231
55108 19.504318 -0.942226
58388 16.194117 6.005020
61764 20.503336 3.851879
6941 20.358620 4.150646
11416 17.161402 6.732069
20607 19.857122 -0.311509
35559 19.592342 5.615412
35781 20.587683 3.465612
28918 19.033150 -0.878227
52 -8.988751 -2.080211
37100 -8.944630 -2.301912
40109 -9.237362 -1.917547
61102 -9.064947 -1.877568
61260 -8.924967 -2.224606
61450 -9.222967 -2.012861
13888 -9.465863 -1.799029
23388 -7.418165 -2.328054
51472 -4.457443 -3.481155
27191 -8.981153 -2.043624
30478 -9.085803 -2.254192
44605 -8.911287 -2.424632
34726 -8.848290 -1.997305
53 19.346804 -0.894646
51738 20.103003 -0.258115
52094 19.270945 -1.108225
53238 19.261395 -1.232949
59222 19.582674 -0.818424
60004 19.462601 -0.929329
19353 17.533775 5.195910
19491 18.490089 -1.385203
12285 19.367233 -0.969346
20987 18.480930 -1.244411
19490 19.609755 -0.911652
23930 18.635916 -0.993393
32292 19.900368 -0.545891
27359 19.763763 -0.790950
55 25.428766 6.501619
49608 25.557795 6.315672
33966 25.584805 6.236232
38247 19.112988 9.639837
56 17.666977 5.658868
31815 17.378859 5.788553
57 11.342257 6.391123
54417 11.245085 6.432724
31489 15.465842 -0.637830
4181 11.296261 6.601734
8839 11.236648 5.867844
7147 11.503402 6.528059
9874 11.509155 6.565781
10355 11.425660 5.326831
57833 11.679739 6.744234
15533 11.454544 6.318105
18950 11.386483 6.408963
21084 11.522326 6.550645
26398 11.347334 6.309244
30764 11.412769 6.507864
24639 12.680047 6.931007
28359 11.268152 6.523353
37567 11.356064 6.336866
59 -10.465041 3.776882
56634 -10.577622 3.826229
41387 -11.079551 2.982476
